estado,fase,visitas,d_pi,H_pi_nats,H_pi_norm,action_gap,ventaja_media
c=B dc=- h=M dh=- L=A dL=+ preo=M,calma,47389,0.002822,4.1652,0.9478,0.28184,1.46599
c=B dc=0 h=B dh=+ L=M dL=+ preo=B,calma,46943,0.002219,4.2637,0.9702,0.15348,1.04160
c=B dc=- h=B dh=- L=A dL=- preo=B,calma,36167,0.001123,4.1302,0.9399,0.37224,1.95471
c=B dc=- h=B dh=+ L=A dL=- preo=B,calma,35520,0.000082,4.0561,0.9230,0.50437,2.11377
c=B dc=0 h=A dh=- L=A dL=+ preo=A,emergencia,34668,0.001068,4.3422,0.9881,0.33348,0.99954
c=B dc=0 h=A dh=- L=B dL=- preo=A,emergencia,33306,0.001096,4.3577,0.9916,0.45958,0.98949
c=B dc=- h=A dh=- L=M dL=- preo=A,emergencia,31789,0.000082,4.3707,0.9946,0.18899,0.52451
c=A dc=- h=A dh=+ L=A dL=+ preo=A,emergencia,31538,0.000521,4.3654,0.9934,0.15847,0.68569
c=A dc=+ h=M dh=+ L=B dL=- preo=B,emergencia,31234,0.002110,3.7497,0.8533,0.61287,3.01631
c=B dc=0 h=B dh=0 L=M dL=+ preo=B,calma,30362,0.001644,4.0919,0.9312,0.23136,1.72816
c=B dc=- h=M dh=+ L=A dL=0 preo=B,calma,28727,0.002548,4.1296,0.9397,0.59573,2.08298
c=M dc=- h=M dh=- L=A dL=+ preo=B,calma,25857,0.002219,3.9208,0.8922,0.38426,2.62388
c=B dc=- h=M dh=+ L=A dL=- preo=B,calma,25536,0.001973,4.0825,0.9290,0.21260,1.90708
c=B dc=0 h=B dh=- L=A dL=+ preo=B,calma,25468,0.000110,3.8644,0.8794,0.64192,2.91709
c=B dc=- h=B dh=- L=M dL=- preo=B,calma,25448,0.000740,4.0864,0.9299,0.46658,2.15765
c=B dc=- h=M dh=- L=M dL=- preo=M,calma,24631,0.001452,3.9286,0.8940,0.19494,2.29595
c=B dc=0 h=B dh=- L=B dL=- preo=B,calma,24320,0.000301,3.8359,0.8729,0.23769,2.52754
c=B dc=+ h=B dh=- L=M dL=+ preo=B,prop_lenta,23109,0.000521,4.0196,0.9147,0.07675,2.06678
c=B dc=- h=A dh=+ L=A dL=+ preo=A,emergencia,23027,0.001452,4.3535,0.9907,0.05373,0.55527
c=B dc=- h=M dh=+ L=A dL=+ preo=M,calma,22685,0.001507,3.9728,0.9041,0.76414,2.61671
c=M dc=- h=M dh=0 L=A dL=+ preo=B,calma,22295,0.001315,3.8727,0.8813,0.32621,2.66813
c=B dc=0 h=M dh=+ L=M dL=+ preo=B,calma,21701,0.001507,4.0152,0.9137,0.21844,2.05755
c=A dc=- h=A dh=+ L=A dL=0 preo=A,emergencia,21358,0.000411,4.3302,0.9854,0.24599,0.83140
c=B dc=- h=M dh=+ L=M dL=- preo=B,calma,20830,0.000986,3.9247,0.8931,0.35248,2.60264
c=B dc=0 h=B dh=- L=M dL=- preo=B,calma,20246,0.000466,3.7856,0.8614,0.29470,3.01508
c=B dc=- h=M dh=- L=M dL=- preo=B,calma,20222,0.001233,3.9584,0.9008,0.17864,2.16174
c=B dc=- h=A dh=- L=B dL=- preo=A,emergencia,19975,0.000466,4.2506,0.9673,0.65104,1.55058
c=B dc=0 h=M dh=- L=M dL=+ preo=B,calma,19961,0.000904,3.8342,0.8725,0.13490,2.93563
c=B dc=- h=A dh=0 L=A dL=+ preo=A,emergencia,19089,0.000356,4.2940,0.9771,0.24687,0.93932
c=B dc=- h=B dh=0 L=A dL=- preo=B,calma,17770,0.000137,3.5225,0.8016,0.39898,4.07211
c=B dc=- h=M dh=0 L=A dL=+ preo=M,calma,16959,0.001288,3.6893,0.8395,0.64682,3.41837
c=B dc=0 h=A dh=- L=M dL=- preo=A,emergencia,14947,0.000192,4.3199,0.9830,0.09059,0.62389
c=M dc=- h=M dh=- L=A dL=+ preo=M,calma,14487,0.000959,3.2847,0.7475,0.37531,4.19122
c=B dc=- h=A dh=- L=A dL=+ preo=M,emergencia,14396,0.000767,3.9403,0.8967,0.30185,2.52464
c=B dc=0 h=M dh=- L=A dL=+ preo=B,calma,14220,0.000137,3.4754,0.7909,0.39320,4.02575
c=B dc=+ h=B dh=- L=M dL=- preo=B,prop_lenta,14166,0.000192,3.5608,0.8103,0.32722,3.85982
c=A dc=- h=A dh=+ L=A dL=+ preo=B,emergencia,13436,0.000192,4.3133,0.9815,0.27410,1.01197
c=B dc=- h=M dh=0 L=M dL=- preo=B,calma,13290,0.000658,3.3029,0.7516,0.55127,5.25871
c=M dc=- h=M dh=+ L=A dL=+ preo=M,calma,13175,0.000548,3.5664,0.8116,0.50784,3.65044
c=B dc=- h=B dh=- L=A dL=+ preo=M,calma,13000,0.000767,3.6240,0.8247,0.16294,4.38052
c=B dc=0 h=B dh=+ L=B dL=- preo=B,calma,12862,0.000110,3.2958,0.7500,0.60181,5.10930
c=B dc=- h=M dh=+ L=M dL=- preo=M,calma,12826,0.000548,3.5791,0.8145,0.74964,4.07872
c=B dc=0 h=M dh=- L=M dL=- preo=B,calma,12816,0.000575,3.6559,0.8319,0.36688,3.87172
c=B dc=- h=M dh=0 L=A dL=- preo=B,calma,12296,0.001123,3.1324,0.7128,1.32812,5.47229
c=B dc=0 h=B dh=+ L=A dL=+ preo=B,calma,12206,0.000055,2.7811,0.6329,0.83099,6.19714
c=B dc=- h=M dh=- L=A dL=- preo=B,calma,12136,0.000904,3.4740,0.7906,0.46182,4.53880
c=B dc=+ h=A dh=- L=A dL=+ preo=A,emergencia,12117,0.000274,4.0760,0.9275,0.51962,2.09756
c=B dc=- h=B dh=+ L=M dL=- preo=B,calma,11845,0.000164,3.0683,0.6982,0.61234,6.10433
c=B dc=0 h=B dh=+ L=M dL=- preo=B,calma,11833,0.000055,3.1954,0.7271,0.56031,5.30784
c=B dc=+ h=M dh=- L=B dL=- preo=M,prop_lenta,11819,0.000438,3.4506,0.7852,0.41715,4.07839
c=B dc=0 h=M dh=0 L=M dL=+ preo=B,calma,11784,0.000521,3.3806,0.7693,0.63063,4.74631
c=A dc=- h=A dh=+ L=A dL=- preo=A,emergencia,11739,0.000274,4.3054,0.9797,0.28434,1.01184
c=B dc=0 h=M dh=- L=M dL=- preo=M,calma,11668,0.000603,3.3665,0.7661,0.40150,4.51717
c=B dc=0 h=M dh=+ L=M dL=- preo=B,calma,11661,0.000384,3.4469,0.7844,0.32573,4.44503
c=B dc=0 h=M dh=+ L=B dL=- preo=B,calma,11160,0.000192,3.4636,0.7882,0.11475,3.97729
c=B dc=0 h=M dh=+ L=A dL=+ preo=B,calma,11111,0.000164,3.1221,0.7105,0.36707,5.99729
c=B dc=0 h=M dh=- L=B dL=- preo=B,calma,10631,0.000110,2.9194,0.6643,0.13909,6.15117
c=M dc=+ h=B dh=- L=B dL=+ preo=B,prop_rapida,10473,0.000000,2.7877,0.6344,0.37117,5.69114
c=M dc=- h=B dh=- L=A dL=+ preo=M,calma,10212,0.000411,2.5437,0.5788,0.40053,6.09940
c=B dc=- h=M dh=0 L=M dL=- preo=M,calma,9702,0.000466,3.1218,0.7104,0.89267,5.71505
c=B dc=+ h=B dh=+ L=M dL=+ preo=B,prop_lenta,9256,0.000219,3.3492,0.7621,0.14719,4.94655
c=M dc=+ h=B dh=- L=M dL=+ preo=B,prop_rapida,9232,0.000247,2.6869,0.6114,0.75985,7.06182
c=B dc=- h=A dh=- L=M dL=0 preo=A,emergencia,9211,0.000055,4.0720,0.9266,0.39313,1.70416
c=B dc=- h=A dh=- L=A dL=- preo=A,emergencia,9201,0.000000,4.0235,0.9156,0.39739,1.96958
c=B dc=+ h=B dh=+ L=M dL=- preo=B,prop_lenta,9195,0.000027,2.9008,0.6601,1.12582,6.53663
c=M dc=0 h=B dh=- L=M dL=+ preo=B,calma,9072,0.000164,2.8780,0.6549,0.63924,6.49229
c=M dc=+ h=M dh=- L=B dL=- preo=M,prop_rapida,8974,0.000575,2.0339,0.4628,0.82770,7.42784
c=B dc=- h=A dh=+ L=A dL=- preo=A,emergencia,8742,0.000301,4.1943,0.9545,0.08256,1.05770
c=B dc=0 h=B dh=0 L=B dL=- preo=B,calma,8724,0.000110,2.5637,0.5834,1.20599,7.94774
c=B dc=- h=B dh=- L=M dL=0 preo=B,calma,8412,0.000137,2.7306,0.6214,0.79516,7.12873
c=B dc=0 h=B dh=0 L=A dL=+ preo=B,calma,8296,0.000000,2.4709,0.5623,0.42867,7.83365
c=A dc=+ h=M dh=- L=B dL=- preo=B,emergencia,7993,0.000740,2.0471,0.4658,1.62351,7.76378
c=B dc=+ h=M dh=- L=M dL=- preo=B,prop_lenta,7990,0.000219,2.9635,0.6744,0.25225,5.75474
c=A dc=+ h=M dh=0 L=B dL=- preo=B,emergencia,7903,0.001068,2.1072,0.4795,1.48083,7.46964
c=B dc=0 h=A dh=- L=A dL=- preo=A,emergencia,7810,0.000000,3.9527,0.8995,0.68455,2.55885
c=M dc=- h=A dh=+ L=A dL=0 preo=A,emergencia,7754,0.000329,4.1824,0.9517,0.36825,1.52083
c=M dc=- h=M dh=0 L=A dL=+ preo=M,calma,7686,0.000438,2.1855,0.4973,2.09414,7.25525
c=M dc=- h=B dh=- L=M dL=+ preo=B,calma,7661,0.000000,2.3810,0.5418,0.86335,7.81054
c=B dc=+ h=A dh=- L=M dL=- preo=A,emergencia,7611,0.000055,3.9784,0.9053,0.44093,2.15481
c=B dc=0 h=B dh=0 L=M dL=- preo=B,calma,7575,0.000110,2.2243,0.5062,2.03431,8.53479
c=B dc=- h=B dh=0 L=M dL=- preo=B,calma,7564,0.000027,2.3198,0.5279,1.30314,7.60853
c=B dc=- h=B dh=- L=B dL=- preo=B,calma,7537,0.000027,2.2351,0.5086,1.64675,8.51406
c=M dc=+ h=B dh=+ L=B dL=+ preo=B,prop_rapida,7536,0.000055,2.0279,0.4615,0.70498,8.52527
c=B dc=0 h=M dh=0 L=A dL=+ preo=B,calma,7399,0.000055,1.7436,0.3968,2.77262,9.62316
c=M dc=0 h=B dh=- L=A dL=+ preo=B,calma,7338,0.000000,2.6070,0.5933,0.86147,7.54788
c=M dc=- h=A dh=+ L=A dL=- preo=A,emergencia,7122,0.000219,4.2039,0.9566,0.17347,1.24354
c=B dc=- h=A dh=0 L=A dL=- preo=A,emergencia,7060,0.000082,4.1101,0.9353,0.11037,1.55483
c=B dc=- h=M dh=- L=M dL=0 preo=B,calma,7047,0.000247,2.5060,0.5703,0.57583,7.62652
c=A dc=- h=B dh=+ L=A dL=+ preo=B,emergencia,7011,0.000712,1.7519,0.3987,2.23461,7.81394
c=M dc=- h=A dh=+ L=A dL=+ preo=A,emergencia,6987,0.000493,4.1416,0.9425,0.10352,1.46791
c=B dc=0 h=M dh=0 L=M dL=- preo=B,calma,6875,0.000274,2.3481,0.5343,0.50219,9.45675
c=B dc=0 h=M dh=0 L=B dL=- preo=B,calma,6845,0.000164,2.4666,0.5613,0.14141,8.31378
c=M dc=+ h=M dh=+ L=B dL=- preo=M,prop_rapida,6811,0.000192,1.7473,0.3976,1.65495,7.58929
c=B dc=- h=A dh=+ L=A dL=+ preo=M,emergencia,6797,0.000575,3.0020,0.6831,0.18876,5.15160
c=B dc=+ h=B dh=- L=A dL=+ preo=B,prop_lenta,6774,0.000000,2.5519,0.5807,0.59814,7.94080
c=A dc=- h=A dh=+ L=A dL=0 preo=B,emergencia,6594,0.000000,4.2766,0.9732,0.38598,1.32066
c=B dc=- h=A dh=+ L=A dL=+ preo=B,emergencia,6218,0.000301,3.0110,0.6852,0.32305,5.86802
c=B dc=+ h=M dh=- L=M dL=- preo=M,prop_lenta,6204,0.000247,2.6825,0.6104,0.90963,7.04995
c=B dc=- h=M dh=+ L=M dL=0 preo=B,calma,6198,0.000164,2.3398,0.5324,1.38176,8.71645
c=A dc=- h=A dh=0 L=A dL=+ preo=A,emergencia,6187,0.000000,4.1943,0.9545,0.36902,1.76616
c=M dc=+ h=A dh=+ L=B dL=- preo=B,emergencia,6179,0.000384,1.8644,0.4243,1.55034,8.47753
c=B dc=0 h=A dh=- L=A dL=+ preo=M,emergencia,6138,0.000329,2.7486,0.6255,1.03000,6.36033
c=A dc=+ h=B dh=- L=B dL=+ preo=B,emergencia,6122,0.000000,1.9725,0.4489,1.94080,7.85671
c=M dc=0 h=B dh=+ L=A dL=+ preo=B,calma,6121,0.000137,1.6142,0.3673,2.07905,9.26775
c=M dc=+ h=B dh=+ L=M dL=+ preo=B,prop_rapida,6120,0.000329,2.1521,0.4897,2.23195,8.64363
c=M dc=+ h=B dh=- L=M dL=- preo=B,prop_rapida,5976,0.000082,1.5376,0.3499,2.02622,9.21244
c=B dc=+ h=M dh=+ L=M dL=- preo=B,prop_lenta,5963,0.000164,2.0031,0.4558,1.10471,9.25972
c=A dc=- h=B dh=+ L=A dL=+ preo=A,emergencia,5957,0.001151,4.1335,0.9406,0.58752,1.77274
c=A dc=- h=A dh=0 L=A dL=0 preo=A,emergencia,5913,0.000000,4.1331,0.9405,0.40585,1.88282
c=B dc=- h=A dh=+ L=M dL=- preo=A,emergencia,5895,0.000603,4.1400,0.9421,0.12685,1.40320
c=B dc=+ h=A dh=- L=A dL=- preo=A,emergencia,5844,0.000000,3.6374,0.8277,0.76839,3.31746
c=B dc=+ h=B dh=0 L=M dL=+ preo=B,prop_lenta,5657,0.000164,1.9273,0.4386,0.84539,8.32800
c=M dc=+ h=B dh=+ L=M dL=- preo=B,prop_rapida,5617,0.000027,1.0485,0.2386,1.83894,10.28231
c=B dc=+ h=A dh=- L=B dL=- preo=M,emergencia,5599,0.000329,2.0950,0.4767,2.02429,7.32686
c=B dc=0 h=A dh=- L=M dL=- preo=M,emergencia,5568,0.000384,2.4550,0.5587,0.55838,6.86170
c=B dc=+ h=B dh=0 L=M dL=- preo=B,prop_lenta,5511,0.000027,1.9095,0.4345,0.94097,8.86187
c=B dc=- h=A dh=+ L=A dL=0 preo=A,emergencia,5382,0.000274,4.1644,0.9476,0.31077,1.45765
c=B dc=+ h=M dh=- L=M dL=+ preo=B,prop_lenta,5334,0.000329,2.3618,0.5374,1.31392,7.07048
c=B dc=0 h=A dh=- L=M dL=0 preo=A,emergencia,5314,0.000082,3.7961,0.8638,0.50640,2.60466
c=B dc=+ h=A dh=+ L=B dL=- preo=B,emergencia,5305,0.000164,2.1239,0.4833,0.74170,8.69374
c=B dc=0 h=M dh=- L=A dL=+ preo=M,calma,5260,0.000055,2.6439,0.6016,0.55765,7.28152
c=A dc=+ h=M dh=+ L=B dL=- preo=M,emergencia,5149,0.000082,2.5270,0.5750,0.81475,6.18232
c=M dc=0 h=B dh=+ L=M dL=+ preo=B,calma,5123,0.000164,2.1244,0.4834,1.79507,8.70570
c=B dc=- h=A dh=0 L=M dL=- preo=A,emergencia,5105,0.000082,3.9166,0.8913,0.38792,2.16620
c=B dc=- h=A dh=- L=M dL=- preo=M,emergencia,5075,0.000356,2.7238,0.6198,0.87597,6.57227
c=B dc=- h=B dh=- L=M dL=- preo=M,calma,5047,0.000329,1.6864,0.3838,1.79525,9.79959
c=B dc=- h=B dh=+ L=M dL=0 preo=B,calma,5039,0.000082,1.6938,0.3854,1.01729,10.28047
c=B dc=+ h=A dh=- L=M dL=- preo=M,emergencia,4974,0.000192,2.6208,0.5964,1.78265,7.07830
c=B dc=- h=A dh=- L=A dL=+ preo=B,emergencia,4944,0.000164,2.6809,0.6101,0.54554,6.75405
c=B dc=+ h=M dh=- L=A dL=+ preo=B,prop_lenta,4862,0.000110,2.3844,0.5426,0.66046,8.05527
c=M dc=+ h=B dh=0 L=B dL=+ preo=B,prop_rapida,4840,0.000000,1.9353,0.4404,1.20233,9.81131
c=B dc=0 h=M dh=- L=M dL=0 preo=B,calma,4689,0.000192,1.8941,0.4310,1.63920,10.24669
c=B dc=0 h=A dh=0 L=B dL=- preo=A,emergencia,4660,0.000110,3.9445,0.8976,0.28828,2.16747
c=A dc=+ h=B dh=+ L=B dL=+ preo=B,emergencia,4527,0.000384,1.4802,0.3368,1.76333,9.61943
c=B dc=- h=A dh=- L=A dL=0 preo=A,emergencia,4521,0.000000,3.7177,0.8460,0.41063,2.81063
c=A dc=0 h=A dh=0 L=B dL=- preo=A,emergencia,4486,0.000000,4.3117,0.9812,0.16800,1.01061
c=B dc=0 h=B dh=- L=M dL=0 preo=B,calma,4437,0.000219,1.5226,0.3465,1.45597,10.53753
c=M dc=0 h=M dh=+ L=M dL=+ preo=B,calma,4406,0.000000,1.2793,0.2911,1.78958,9.82955
c=B dc=- h=A dh=0 L=A dL=0 preo=A,emergencia,4391,0.000000,4.0659,0.9252,0.13342,1.55684
c=M dc=- h=B dh=+ L=A dL=0 preo=B,calma,4347,0.000082,1.5647,0.3561,1.40654,10.18963
c=B dc=+ h=B dh=- L=B dL=+ preo=B,prop_lenta,4310,0.000082,1.5378,0.3499,1.71895,9.87833
c=M dc=+ h=M dh=0 L=B dL=- preo=M,prop_rapida,4263,0.000137,0.6347,0.1444,3.46724,9.67258
c=M dc=0 h=B dh=- L=B dL=- preo=B,calma,4248,0.000055,1.1479,0.2612,2.25024,10.92377
c=B dc=+ h=M dh=+ L=M dL=+ preo=B,prop_lenta,4232,0.000082,2.2778,0.5183,0.94033,8.74208
c=M dc=- h=M dh=+ L=M dL=+ preo=B,calma,4209,0.000000,0.3487,0.0793,3.38579,11.76781
c=B dc=- h=B dh=+ L=B dL=- preo=B,calma,4200,0.000055,2.2375,0.5092,0.40603,8.52343
c=M dc=- h=A dh=0 L=A dL=+ preo=A,emergencia,4181,0.000000,3.9871,0.9073,0.30914,2.10852
c=B dc=+ h=B dh=- L=B dL=- preo=M,prop_lenta,4126,0.000055,1.6471,0.3748,1.90250,8.57540
c=B dc=0 h=M dh=+ L=M dL=- preo=M,calma,4060,0.000219,1.9745,0.4493,0.45923,9.02049
c=B dc=+ h=A dh=0 L=B dL=- preo=A,emergencia,4059,0.000219,3.7172,0.8459,0.58772,2.96938
c=A dc=- h=A dh=0 L=A dL=- preo=A,emergencia,4021,0.000000,4.1456,0.9434,0.30558,1.84797
c=B dc=+ h=A dh=- L=B dL=- preo=B,emergencia,3931,0.000110,1.5180,0.3454,0.70814,8.88341
c=M dc=- h=B dh=+ L=M dL=+ preo=B,calma,3886,0.000000,1.5304,0.3483,1.41721,9.65783
c=M dc=+ h=B dh=0 L=M dL=+ preo=B,prop_rapida,3857,0.000192,1.4846,0.3378,1.98619,10.81774
c=M dc=- h=B dh=+ L=A dL=+ preo=M,calma,3839,0.000219,2.3504,0.5348,0.31721,7.59130
c=B dc=- h=M dh=0 L=M dL=0 preo=B,calma,3825,0.000192,1.8201,0.4142,0.75322,10.25732
c=B dc=0 h=A dh=+ L=M dL=- preo=A,emergencia,3729,0.000219,3.9642,0.9021,0.32402,2.13305
c=B dc=+ h=B dh=- L=B dL=- preo=A,prop_lenta,3727,0.000055,1.8882,0.4297,1.33055,7.77318
c=A dc=- h=A dh=+ L=A dL=- preo=B,emergencia,3726,0.000000,3.9642,0.9021,0.56667,2.45148
c=M dc=+ h=M dh=+ L=M dL=+ preo=B,prop_rapida,3705,0.000082,1.2977,0.2953,3.12891,10.04151
c=A dc=+ h=M dh=- L=B dL=- preo=M,emergencia,3648,0.000027,1.4143,0.3218,2.32625,8.48286
c=B dc=- h=M dh=+ L=B dL=- preo=B,calma,3646,0.000027,0.9836,0.2238,2.36642,10.87359
c=M dc=- h=A dh=0 L=A dL=0 preo=A,emergencia,3645,0.000000,4.1356,0.9411,0.22615,1.79420
c=M dc=0 h=B dh=0 L=A dL=+ preo=B,calma,3614,0.000000,0.3512,0.0799,4.29792,12.45479
c=M dc=0 h=B dh=- L=M dL=- preo=B,calma,3560,0.000000,0.9758,0.2221,2.40571,10.99456
c=M dc=+ h=B dh=- L=B dL=- preo=M,prop_rapida,3524,0.000110,0.4650,0.1058,3.92830,10.47466
c=A dc=+ h=B dh=- L=B dL=- preo=M,emergencia,3504,0.000027,1.8388,0.4184,0.29289,7.65301
c=B dc=- h=A dh=0 L=A dL=+ preo=M,emergencia,3481,0.000082,1.9832,0.4513,1.85022,8.15025
c=A dc=0 h=A dh=0 L=B dL=- preo=B,emergencia,3405,0.000000,4.2777,0.9734,0.44273,1.44166
c=B dc=+ h=A dh=- L=A dL=+ preo=M,emergencia,3374,0.000137,2.4935,0.5674,1.20503,8.13919
c=B dc=0 h=M dh=+ L=M dL=0 preo=B,calma,3344,0.000137,1.0639,0.2421,1.51916,12.07355
c=B dc=- h=A dh=+ L=M dL=- preo=M,emergencia,3339,0.000082,2.4931,0.5673,0.99930,7.62171
c=B dc=+ h=M dh=0 L=M dL=- preo=B,prop_lenta,3330,0.000110,0.7502,0.1707,2.75046,11.26070
c=B dc=- h=A dh=- L=M dL=+ preo=A,emergencia,3321,0.000055,3.4662,0.7888,0.85439,3.62350
c=M dc=0 h=M dh=- L=M dL=+ preo=B,calma,3268,0.000000,0.2246,0.0511,4.66421,12.44462
c=B dc=+ h=B dh=- L=B dL=0 preo=B,prop_lenta,3258,0.000000,1.3299,0.3026,2.55494,9.63779
c=M dc=+ h=B dh=0 L=M dL=- preo=B,prop_rapida,3252,0.000082,0.3500,0.0796,3.43063,11.83993
c=A dc=- h=B dh=+ L=A dL=- preo=A,emergencia,3218,0.000795,4.1103,0.9353,0.61413,2.07128
c=M dc=0 h=B dh=0 L=M dL=+ preo=B,calma,3184,0.000000,1.5526,0.3533,1.63444,10.76012
c=M dc=- h=B dh=0 L=A dL=+ preo=M,calma,3153,0.000082,0.9233,0.2101,1.16081,10.97200
c=B dc=- h=B dh=+ L=A dL=+ preo=M,calma,3143,0.000247,1.3428,0.3056,1.21539,10.39635
c=B dc=0 h=M dh=0 L=M dL=- preo=M,calma,3105,0.000110,1.0990,0.2501,1.61170,10.45744
c=B dc=- h=M dh=- L=B dL=- preo=B,calma,3082,0.000055,1.6333,0.3717,0.96557,11.37711
c=B dc=- h=B dh=0 L=M dL=0 preo=B,calma,3066,0.000027,0.6438,0.1465,3.73775,11.45323
c=A dc=0 h=A dh=0 L=A dL=+ preo=A,emergencia,3054,0.000000,4.3048,0.9796,0.15931,1.13522
c=A dc=- h=A dh=+ L=A dL=+ preo=M,emergencia,3032,0.000137,4.2819,0.9744,0.13980,1.28136
c=B dc=+ h=M dh=- L=M dL=0 preo=B,prop_lenta,3029,0.000055,0.7619,0.1734,3.81260,10.70228
c=B dc=+ h=M dh=- L=B dL=- preo=A,prop_lenta,3016,0.000027,1.5290,0.3479,1.62463,8.09181
c=M dc=- h=M dh=- L=M dL=+ preo=B,calma,2988,0.000000,0.1242,0.0283,5.19251,11.94078
c=B dc=0 h=M dh=- L=B dL=- preo=M,calma,2988,0.000055,1.6036,0.3649,0.82156,9.37437
c=M dc=+ h=M dh=+ L=M dL=- preo=B,prop_rapida,2977,0.000110,0.7881,0.1793,2.08481,11.44350
c=M dc=+ h=M dh=- L=M dL=+ preo=B,prop_rapida,2951,0.000000,1.6487,0.3752,0.28621,10.10904
c=M dc=+ h=M dh=+ L=B dL=+ preo=B,prop_rapida,2935,0.000000,0.3888,0.0885,2.91935,12.18443
c=M dc=0 h=B dh=- L=B dL=+ preo=B,calma,2921,0.000000,1.2970,0.2952,1.42983,10.37987
