rank,estado,fase,nivel_contagio,visitas,d_pi,d_pi_descontada
64,c=B dc=- h=A dh=- L=A dL=+ preo=M,emergencia,B,14396,0.000767,0.004552
65,c=M dc=- h=B dh=+ L=A dL=+ preo=A,calma,M,1846,0.000767,0.011812
66,c=B dc=- h=B dh=- L=A dL=+ preo=M,calma,B,13000,0.000767,0.001497
67,c=B dc=- h=B dh=- L=M dL=- preo=B,calma,B,25448,0.000740,0.000568
68,c=A dc=+ h=M dh=- L=B dL=- preo=B,emergencia,A,7993,0.000740,0.000057
69,c=A dc=- h=B dh=+ L=A dL=+ preo=B,emergencia,A,7011,0.000712,0.011074
70,c=B dc=- h=M dh=0 L=M dL=- preo=B,calma,B,13290,0.000658,0.000514
71,c=M dc=+ h=B dh=+ L=B dL=- preo=A,prop_rapida,M,2126,0.000630,0.009007
72,c=B dc=- h=A dh=+ L=M dL=- preo=A,emergencia,B,5895,0.000603,0.006877
73,c=B dc=0 h=M dh=- L=M dL=- preo=M,calma,B,11668,0.000603,0.001041
74,c=B dc=0 h=M dh=- L=M dL=- preo=B,calma,B,12816,0.000575,0.000322
75,c=M dc=+ h=M dh=- L=B dL=- preo=M,prop_rapida,M,8974,0.000575,0.002297
76,c=B dc=- h=A dh=+ L=A dL=+ preo=M,emergencia,B,6797,0.000575,0.003211
77,c=B dc=- h=B dh=+ L=A dL=+ preo=A,calma,B,2595,0.000575,0.008549
78,c=A dc=0 h=B dh=0 L=B dL=0 preo=B,emergencia,A,254,0.000575,0.010500
79,c=B dc=- h=M dh=+ L=M dL=- preo=M,calma,B,12826,0.000548,0.001918
80,c=M dc=- h=M dh=+ L=A dL=+ preo=M,calma,M,13175,0.000548,0.000993
81,c=A dc=- h=A dh=+ L=A dL=+ preo=A,emergencia,A,31538,0.000521,0.007026
82,c=B dc=0 h=M dh=0 L=M dL=+ preo=B,calma,B,11784,0.000521,0.000281
83,c=B dc=+ h=B dh=- L=M dL=+ preo=B,prop_lenta,B,23109,0.000521,0.001398
84,c=M dc=- h=A dh=+ L=A dL=+ preo=A,emergencia,M,6987,0.000493,0.006358
85,c=B dc=0 h=B dh=- L=M dL=- preo=B,calma,B,20246,0.000466,0.000601
86,c=B dc=- h=M dh=0 L=M dL=- preo=M,calma,B,9702,0.000466,0.000447
87,c=B dc=- h=A dh=- L=B dL=- preo=A,emergencia,B,19975,0.000466,0.003613
88,c=B dc=+ h=M dh=- L=B dL=- preo=M,prop_lenta,B,11819,0.000438,0.003112
89,c=M dc=- h=M dh=0 L=A dL=+ preo=M,calma,M,7686,0.000438,0.000349
90,c=B dc=0 h=B dh=0 L=B dL=0 preo=A,calma,B,193,0.000411,0.007500
91,c=M dc=- h=B dh=- L=A dL=+ preo=M,calma,M,10212,0.000411,0.000643
92,c=A dc=- h=A dh=+ L=A dL=0 preo=A,emergencia,A,21358,0.000411,0.005530
93,c=B dc=0 h=M dh=+ L=M dL=- preo=B,calma,B,11661,0.000384,0.000434
94,c=B dc=0 h=A dh=- L=M dL=- preo=M,emergencia,B,5568,0.000384,0.002176
95,c=M dc=+ h=A dh=+ L=B dL=- preo=B,emergencia,M,6179,0.000384,0.000121
96,c=A dc=+ h=B dh=+ L=B dL=+ preo=B,emergencia,A,4527,0.000384,0.006650
97,c=B dc=- h=A dh=- L=M dL=- preo=M,emergencia,B,5075,0.000356,0.002152
98,c=B dc=- h=A dh=0 L=A dL=+ preo=A,emergencia,B,19089,0.000356,0.003374
99,c=B dc=- h=B dh=- L=M dL=- preo=M,calma,B,5047,0.000329,0.001728
100,c=B dc=- h=M dh=+ L=A dL=+ preo=A,calma,B,640,0.000329,0.004099
101,c=M dc=+ h=B dh=+ L=M dL=+ preo=B,prop_rapida,M,6120,0.000329,0.000627
102,c=B dc=+ h=A dh=- L=B dL=- preo=M,emergencia,B,5599,0.000329,0.002243
103,c=B dc=+ h=M dh=- L=M dL=+ preo=B,prop_lenta,B,5334,0.000329,0.000204
104,c=M dc=- h=A dh=+ L=A dL=0 preo=A,emergencia,M,7754,0.000329,0.004088
105,c=B dc=0 h=A dh=- L=A dL=+ preo=M,emergencia,B,6138,0.000329,0.002462
106,c=B dc=0 h=B dh=- L=B dL=- preo=B,calma,B,24320,0.000301,0.000278
107,c=B dc=- h=A dh=+ L=A dL=- preo=A,emergencia,B,8742,0.000301,0.003673
108,c=B dc=- h=A dh=+ L=A dL=+ preo=B,emergencia,B,6218,0.000301,0.000235
109,c=B dc=+ h=B dh=+ L=B dL=+ preo=A,prop_lenta,B,303,0.000301,0.005106
110,c=B dc=- h=B dh=0 L=A dL=+ preo=M,calma,B,2616,0.000274,0.002160
111,c=B dc=0 h=M dh=0 L=M dL=- preo=B,calma,B,6875,0.000274,0.000001
112,c=B dc=+ h=A dh=- L=A dL=+ preo=A,emergencia,B,12117,0.000274,0.002149
113,c=A dc=- h=A dh=+ L=A dL=- preo=A,emergencia,A,11739,0.000274,0.003865
114,c=B dc=- h=A dh=+ L=A dL=0 preo=A,emergencia,B,5382,0.000274,0.003199
115,c=A dc=- h=A dh=+ L=A dL=0 preo=M,emergencia,A,2632,0.000247,0.003410
116,c=B dc=+ h=B dh=+ L=B dL=- preo=A,prop_lenta,B,2442,0.000247,0.003333
117,c=B dc=- h=M dh=- L=M dL=0 preo=B,calma,B,7047,0.000247,0.000037
118,c=A dc=+ h=B dh=+ L=B dL=- preo=M,emergencia,A,1926,0.000247,0.003449
119,c=B dc=- h=B dh=+ L=A dL=+ preo=M,calma,B,3143,0.000247,0.003010
120,c=B dc=+ h=M dh=- L=M dL=- preo=M,prop_lenta,B,6204,0.000247,0.000863
121,c=B dc=0 h=B dh=0 L=B dL=0 preo=B,calma,B,365,0.000247,0.004500
122,c=M dc=+ h=B dh=- L=M dL=+ preo=B,prop_rapida,M,9232,0.000247,0.000336
123,c=A dc=- h=B dh=+ L=A dL=+ preo=M,emergencia,A,2116,0.000219,0.003504
124,c=B dc=0 h=A dh=+ L=M dL=- preo=A,emergencia,B,3729,0.000219,0.002435
125,c=M dc=- h=B dh=+ L=A dL=- preo=A,calma,M,558,0.000219,0.003434
126,c=M dc=- h=B dh=+ L=A dL=+ preo=M,calma,M,3839,0.000219,0.002492
127,c=B dc=+ h=A dh=0 L=B dL=- preo=A,emergencia,B,4059,0.000219,0.001851
128,c=B dc=0 h=B dh=- L=M dL=0 preo=B,calma,B,4437,0.000219,0.000571
129,c=M dc=+ h=B dh=+ L=B dL=- preo=M,prop_rapida,M,1670,0.000219,0.003011
130,c=B dc=+ h=M dh=- L=M dL=- preo=B,prop_lenta,B,7990,0.000219,0.000506
131,c=M dc=- h=A dh=+ L=A dL=- preo=A,emergencia,M,7122,0.000219,0.002568
132,c=B dc=- h=M dh=- L=M dL=0 preo=M,calma,B,2601,0.000219,0.000294
133,c=A dc=- h=M dh=+ L=A dL=+ preo=A,emergencia,A,1382,0.000219,0.003392
134,c=B dc=+ h=B dh=+ L=M dL=+ preo=B,prop_lenta,B,9256,0.000219,0.001000
135,c=B dc=0 h=A dh=- L=B dL=- preo=M,emergencia,B,1956,0.000219,0.001471
136,c=B dc=- h=M dh=- L=A dL=0 preo=M,calma,B,2593,0.000219,0.000156
137,c=B dc=0 h=M dh=+ L=M dL=- preo=M,calma,B,4060,0.000219,0.000465
138,c=M dc=0 h=B dh=+ L=B dL=- preo=A,calma,M,544,0.000192,0.002899
139,c=A dc=- h=A dh=+ L=A dL=+ preo=B,emergencia,A,13436,0.000192,0.002942
140,c=M dc=+ h=B dh=0 L=M dL=+ preo=B,prop_rapida,M,3857,0.000192,0.000017
141,c=B dc=+ h=B dh=- L=M dL=- preo=B,prop_lenta,B,14166,0.000192,0.000683
142,c=M dc=+ h=M dh=+ L=B dL=- preo=M,prop_rapida,M,6811,0.000192,0.000477
143,c=B dc=- h=M dh=+ L=A dL=0 preo=M,calma,B,2243,0.000192,0.000062
144,c=B dc=- h=M dh=0 L=M dL=0 preo=B,calma,B,3825,0.000192,0.000112
145,c=B dc=0 h=M dh=- L=M dL=0 preo=B,calma,B,4689,0.000192,0.000385
146,c=B dc=- h=B dh=+ L=M dL=+ preo=A,calma,B,581,0.000192,0.003027
147,c=M dc=+ h=A dh=+ L=B dL=- preo=A,emergencia,M,1288,0.000192,0.002269
148,c=B dc=0 h=A dh=- L=M dL=- preo=A,emergencia,B,14947,0.000192,0.001876
149,c=B dc=+ h=A dh=- L=M dL=- preo=M,emergencia,B,4974,0.000192,0.001564
150,c=B dc=0 h=M dh=+ L=B dL=- preo=B,calma,B,11160,0.000192,0.000439
151,c=B dc=+ h=M dh=+ L=M dL=- preo=B,prop_lenta,B,5963,0.000164,0.000002
152,c=B dc=- h=B dh=+ L=M dL=- preo=B,calma,B,11845,0.000164,0.001694
153,c=A dc=- h=M dh=+ L=A dL=+ preo=B,emergencia,A,1502,0.000164,0.002452
154,c=B dc=- h=A dh=- L=A dL=+ preo=B,emergencia,B,4944,0.000164,0.000545
155,c=B dc=+ h=A dh=+ L=B dL=- preo=B,emergencia,B,5305,0.000164,0.000026
156,c=B dc=0 h=M dh=0 L=B dL=- preo=B,calma,B,6845,0.000164,0.000020
157,c=B dc=+ h=A dh=+ L=M dL=- preo=A,emergencia,B,1788,0.000164,0.001846
158,c=M dc=- h=B dh=+ L=M dL=+ preo=A,calma,M,718,0.000164,0.002190
159,c=M dc=+ h=M dh=- L=B dL=0 preo=M,prop_rapida,M,780,0.000164,0.001086
160,c=B dc=0 h=M dh=+ L=A dL=+ preo=B,calma,B,11111,0.000164,0.000441
161,c=M dc=+ h=M dh=+ L=B dL=- preo=A,prop_rapida,M,479,0.000164,0.002191
162,c=B dc=+ h=B dh=0 L=M dL=+ preo=B,prop_lenta,B,5657,0.000164,0.000135
163,c=M dc=0 h=B dh=+ L=M dL=+ preo=A,calma,M,445,0.000164,0.002314
164,c=M dc=0 h=B dh=+ L=M dL=+ preo=B,calma,M,5123,0.000164,0.000444
165,c=M dc=0 h=B dh=0 L=B dL=0 preo=A,calma,M,29,0.000164,0.003000
166,c=A dc=- h=M dh=+ L=A dL=+ preo=M,emergencia,A,1869,0.000164,0.002412
167,c=M dc=0 h=B dh=- L=M dL=+ preo=B,calma,M,9072,0.000164,0.000015
168,c=B dc=0 h=A dh=+ L=B dL=- preo=A,emergencia,B,1805,0.000164,0.001651
169,c=B dc=+ h=B dh=+ L=B dL=0 preo=A,prop_lenta,B,564,0.000164,0.002466
170,c=B dc=- h=M dh=0 L=A dL=0 preo=B,calma,B,2901,0.000164,0.000084
171,c=B dc=- h=M dh=+ L=M dL=0 preo=B,calma,B,6198,0.000164,0.000015
172,c=B dc=+ h=A dh=- L=M dL=0 preo=M,emergencia,B,727,0.000137,0.000687
173,c=B dc=+ h=A dh=- L=A dL=+ preo=M,emergencia,B,3374,0.000137,0.000976
174,c=B dc=- h=M dh=+ L=A dL=- preo=M,calma,B,1139,0.000137,0.000013
175,c=B dc=0 h=M dh=+ L=M dL=0 preo=B,calma,B,3344,0.000137,0.000010
176,c=B dc=- h=B dh=- L=A dL=- preo=M,calma,B,872,0.000137,0.000008
177,c=B dc=- h=B dh=- L=M dL=0 preo=B,calma,B,8412,0.000137,0.000253
178,c=B dc=- h=M dh=- L=M dL=+ preo=M,calma,B,1858,0.000137,0.000820
179,c=B dc=- h=M dh=- L=A dL=+ preo=A,calma,B,2786,0.000137,0.001300
180,c=B dc=- h=B dh=0 L=A dL=- preo=B,calma,B,17770,0.000137,0.000079
181,c=B dc=0 h=M dh=- L=A dL=+ preo=B,calma,B,14220,0.000137,0.000133
182,c=B dc=- h=M dh=- L=A dL=0 preo=B,calma,B,2525,0.000137,0.000024
183,c=A dc=+ h=A dh=+ L=B dL=- preo=A,emergencia,A,2063,0.000137,0.001752
184,c=M dc=0 h=B dh=+ L=A dL=+ preo=B,calma,M,6121,0.000137,0.000485
185,c=A dc=- h=A dh=+ L=A dL=+ preo=M,emergencia,A,3032,0.000137,0.001766
186,c=A dc=0 h=B dh=0 L=B dL=0 preo=M,emergencia,A,30,0.000137,0.002500
187,c=M dc=0 h=B dh=0 L=B dL=0 preo=B,calma,M,51,0.000137,0.002500
188,c=M dc=- h=M dh=+ L=M dL=+ preo=A,calma,M,198,0.000137,0.001804
189,c=M dc=+ h=M dh=0 L=B dL=- preo=M,prop_rapida,M,4263,0.000137,0.000492
190,c=M dc=+ h=B dh=+ L=B dL=0 preo=A,prop_rapida,M,228,0.000137,0.001830
191,c=B dc=+ h=M dh=- L=A dL=+ preo=B,prop_lenta,B,4862,0.000110,0.000394
192,c=B dc=- h=A dh=+ L=M dL=0 preo=A,emergencia,B,456,0.000110,0.001075
193,c=M dc=+ h=M dh=+ L=M dL=- preo=B,prop_rapida,M,2977,0.000110,0.000042
194,c=B dc=+ h=M dh=0 L=M dL=- preo=B,prop_lenta,B,3330,0.000110,0.000001
195,c=B dc=- h=A dh=- L=A dL=0 preo=M,emergencia,B,1031,0.000110,0.000768
196,c=B dc=- h=A dh=0 L=B dL=- preo=A,emergencia,B,2723,0.000110,0.000989
197,c=B dc=- h=A dh=0 L=A dL=+ preo=B,emergencia,B,2246,0.000110,0.000000
198,c=B dc=0 h=B dh=- L=M dL=- preo=M,calma,B,2134,0.000110,0.000801
199,c=B dc=- h=M dh=- L=A dL=- preo=M,calma,B,1338,0.000110,0.000001
200,c=B dc=0 h=B dh=- L=A dL=+ preo=B,calma,B,25468,0.000110,0.000252
201,c=B dc=0 h=B dh=0 L=B dL=- preo=B,calma,B,8724,0.000110,0.000647
202,c=B dc=0 h=B dh=0 L=M dL=- preo=B,calma,B,7575,0.000110,0.000318
203,c=B dc=0 h=B dh=+ L=B dL=- preo=B,calma,B,12862,0.000110,0.000828
204,c=B dc=0 h=M dh=- L=B dL=- preo=B,calma,B,10631,0.000110,0.000149
205,c=M dc=+ h=B dh=- L=B dL=- preo=M,prop_rapida,M,3524,0.000110,0.000757
206,c=B dc=0 h=M dh=0 L=M dL=- preo=M,calma,B,3105,0.000110,0.000041
207,c=B dc=0 h=A dh=+ L=M dL=- preo=M,emergencia,B,1998,0.000110,0.000604
208,c=B dc=+ h=A dh=- L=B dL=- preo=B,emergencia,B,3931,0.000110,0.000340
209,c=B dc=0 h=A dh=0 L=B dL=- preo=A,emergencia,B,4660,0.000110,0.000990
210,c=B dc=- h=B dh=- L=A dL=0 preo=M,calma,B,1671,0.000110,0.000154
211,c=B dc=- h=B dh=+ L=M dL=- preo=M,calma,B,822,0.000110,0.001020
212,c=B dc=+ h=A dh=0 L=M dL=- preo=M,emergencia,B,956,0.000082,0.000403
213,c=B dc=- h=A dh=+ L=M dL=+ preo=A,emergencia,B,715,0.000082,0.000955
214,c=B dc=0 h=B dh=0 L=M dL=- preo=M,calma,B,426,0.000082,0.000377
215,c=A dc=+ h=B dh=+ L=B dL=- preo=A,emergencia,A,931,0.000082,0.001146
216,c=B dc=+ h=B dh=+ L=B dL=- preo=M,prop_lenta,B,729,0.000082,0.000942
217,c=A dc=+ h=B dh=0 L=B dL=- preo=M,emergencia,A,1114,0.000082,0.000599
218,c=B dc=- h=B dh=+ L=B dL=- preo=A,calma,B,254,0.000082,0.001243
219,c=M dc=+ h=B dh=+ L=B dL=+ preo=A,prop_rapida,M,115,0.000082,0.001425
220,c=B dc=- h=A dh=+ L=M dL=+ preo=B,emergencia,B,2514,0.000082,0.000000
221,c=B dc=- h=B dh=0 L=M dL=- preo=M,calma,B,644,0.000082,0.000883
222,c=A dc=- h=A dh=+ L=M dL=- preo=B,emergencia,A,1177,0.000082,0.001207
223,c=B dc=- h=A dh=+ L=M dL=- preo=M,emergencia,B,3339,0.000082,0.000311
224,c=B dc=- h=A dh=0 L=A dL=+ preo=M,emergencia,B,3481,0.000082,0.000383
225,c=B dc=- h=B dh=+ L=M dL=0 preo=B,calma,B,5039,0.000082,0.000962
226,c=B dc=- h=A dh=0 L=A dL=- preo=A,emergencia,B,7060,0.000082,0.000915
227,c=B dc=- h=A dh=0 L=M dL=- preo=A,emergencia,B,5105,0.000082,0.000900
228,c=M dc=+ h=B dh=0 L=M dL=- preo=B,prop_rapida,M,3252,0.000082,0.000154
229,c=B dc=0 h=B dh=+ L=B dL=- preo=A,calma,B,680,0.000082,0.001187
230,c=M dc=+ h=M dh=- L=M dL=- preo=M,prop_rapida,M,1325,0.000082,0.000126
231,c=B dc=0 h=A dh=+ L=A dL=+ preo=M,emergencia,B,815,0.000082,0.000561
232,c=B dc=0 h=A dh=- L=M dL=0 preo=A,emergencia,B,5314,0.000082,0.000734
233,c=M dc=- h=B dh=0 L=A dL=+ preo=M,calma,M,3153,0.000082,0.000392
234,c=M dc=0 h=B dh=+ L=A dL=+ preo=A,calma,M,118,0.000082,0.001161
235,c=M dc=0 h=B dh=+ L=B dL=- preo=M,calma,M,576,0.000082,0.001019
236,c=A dc=+ h=M dh=+ L=B dL=+ preo=B,emergencia,A,1428,0.000082,0.001425
237,c=B dc=0 h=M dh=0 L=M dL=0 preo=B,calma,B,2245,0.000082,0.000003
238,c=B dc=0 h=A dh=+ L=A dL=+ preo=A,emergencia,B,1072,0.000082,0.000745
239,c=B dc=+ h=B dh=0 L=B dL=- preo=A,prop_lenta,B,584,0.000082,0.001222
240,c=A dc=+ h=M dh=+ L=B dL=- preo=M,emergencia,A,5149,0.000082,0.001165
241,c=B dc=0 h=M dh=- L=M dL=0 preo=M,calma,B,2177,0.000082,0.000533
242,c=M dc=+ h=B dh=- L=M dL=- preo=B,prop_rapida,M,5976,0.000082,0.000005
243,c=M dc=+ h=B dh=0 L=B dL=- preo=M,prop_rapida,M,996,0.000082,0.000489
244,c=B dc=+ h=B dh=- L=B dL=+ preo=B,prop_lenta,B,4310,0.000082,0.000286
245,c=B dc=+ h=B dh=- L=B dL=+ preo=A,prop_lenta,B,772,0.000082,0.001401
246,c=M dc=- h=M dh=+ L=A dL=+ preo=A,calma,M,584,0.000082,0.001127
247,c=M dc=+ h=B dh=+ L=M dL=+ preo=A,prop_rapida,M,172,0.000082,0.001165
248,c=B dc=- h=B dh=+ L=A dL=- preo=B,calma,B,35520,0.000082,0.000000
249,c=B dc=+ h=M dh=0 L=A dL=+ preo=B,prop_lenta,B,1902,0.000082,0.000000
250,c=B dc=+ h=A dh=0 L=M dL=- preo=A,emergencia,B,1003,0.000082,0.000791
251,c=B dc=+ h=A dh=- L=M dL=+ preo=M,emergencia,B,402,0.000082,0.000574
252,c=B dc=- h=M dh=0 L=A dL=0 preo=M,calma,B,1174,0.000082,0.000006
253,c=M dc=+ h=M dh=+ L=M dL=+ preo=B,prop_rapida,M,3705,0.000082,0.000000
254,c=A dc=- h=A dh=+ L=M dL=- preo=M,emergencia,A,332,0.000082,0.001123
255,c=B dc=+ h=M dh=+ L=A dL=+ preo=B,prop_lenta,B,2774,0.000082,0.000154
256,c=B dc=+ h=M dh=+ L=M dL=+ preo=B,prop_lenta,B,4232,0.000082,0.000000
257,c=B dc=- h=M dh=+ L=M dL=+ preo=A,calma,B,157,0.000082,0.001105
258,c=M dc=+ h=M dh=+ L=M dL=- preo=M,prop_rapida,M,1035,0.000082,0.000316
259,c=M dc=- h=B dh=+ L=A dL=0 preo=B,calma,M,4347,0.000082,0.000481
260,c=B dc=+ h=A dh=+ L=B dL=- preo=A,emergencia,B,2430,0.000082,0.000904
261,c=M dc=- h=B dh=+ L=B dL=- preo=A,calma,M,191,0.000082,0.001310
262,c=B dc=0 h=A dh=0 L=M dL=- preo=M,emergencia,B,1286,0.000082,0.000484
263,c=B dc=+ h=M dh=- L=A dL=+ preo=M,prop_lenta,B,2205,0.000082,0.000397
264,c=B dc=+ h=M dh=- L=M dL=0 preo=M,prop_lenta,B,1357,0.000082,0.000421
265,c=B dc=- h=A dh=- L=M dL=- preo=A,emergencia,B,31789,0.000082,0.000825
266,c=B dc=+ h=M dh=0 L=M dL=- preo=M,prop_lenta,B,955,0.000082,0.000425
267,c=B dc=+ h=A dh=+ L=M dL=- preo=M,emergencia,B,1287,0.000082,0.000716
268,c=B dc=- h=B dh=- L=M dL=0 preo=M,calma,B,559,0.000055,0.000350
269,c=M dc=+ h=A dh=0 L=B dL=- preo=B,emergencia,M,728,0.000055,0.000030
270,c=B dc=- h=A dh=- L=M dL=+ preo=M,emergencia,B,793,0.000055,0.000309
271,c=M dc=+ h=A dh=+ L=B dL=- preo=M,emergencia,M,1746,0.000055,0.000298
272,c=B dc=0 h=M dh=- L=A dL=+ preo=M,calma,B,5260,0.000055,0.000234
273,c=M dc=0 h=M dh=+ L=M dL=+ preo=A,calma,M,98,0.000055,0.000698
274,c=B dc=- h=B dh=+ L=B dL=- preo=B,calma,B,4200,0.000055,0.000438
275,c=B dc=- h=M dh=0 L=A dL=- preo=M,calma,B,598,0.000055,0.000001
276,c=M dc=+ h=A dh=- L=B dL=- preo=A,emergencia,M,2706,0.000055,0.000473
277,c=B dc=0 h=M dh=0 L=A dL=+ preo=B,calma,B,7399,0.000055,0.000035
278,c=B dc=- h=M dh=0 L=M dL=+ preo=M,calma,B,411,0.000055,0.000363
279,c=A dc=- h=M dh=+ L=A dL=- preo=A,emergencia,A,838,0.000055,0.000903
280,c=B dc=0 h=A dh=- L=M dL=0 preo=M,emergencia,B,739,0.000055,0.000335
281,c=A dc=- h=M dh=+ L=A dL=0 preo=A,emergencia,A,255,0.000055,0.000775
282,c=M dc=0 h=B dh=+ L=M dL=- preo=M,calma,M,179,0.000055,0.000728
283,c=B dc=- h=A dh=- L=M dL=+ preo=A,emergencia,B,3321,0.000055,0.000541
