estado,fase,mejor_accion,work,school,ptrans,conf,coste,Q_max,visitas
c=B dc=- h=B dh=0 L=A dL=- preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.0689,17770
c=B dc=- h=B dh=0 L=A dL=- preo=M,calma,"(0, 1, 0, 2)",0,1,0,2,5.0,14.3173,451
c=B dc=- h=B dh=0 L=A dL=- preo=A,calma,"(1, 0, 0, 1)",1,0,0,1,3.0,5.7949,2
c=B dc=- h=B dh=0 L=A dL=0 preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.2585,77160
c=B dc=- h=B dh=0 L=A dL=0 preo=M,calma,"(2, 0, 1, 0)",2,0,1,0,3.0,14.5279,637
c=B dc=- h=B dh=0 L=A dL=0 preo=A,calma,"(0, 1, 0, 2)",0,1,0,2,5.0,10.1485,5
c=B dc=- h=B dh=0 L=A dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.2137,991023
c=B dc=- h=B dh=0 L=A dL=+ preo=M,calma,"(2, 2, 2, 0)",2,2,2,0,6.0,15.9192,2616
c=B dc=- h=B dh=0 L=A dL=+ preo=A,calma,"(1, 2, 1, 0)",1,2,1,0,4.0,8.6148,301
c=B dc=- h=B dh=+ L=B dL=- preo=B,calma,"(0, 0, 0, 2)",0,0,0,2,4.0,15.7236,4200
c=B dc=- h=B dh=+ L=B dL=- preo=M,calma,"(0, 1, 0, 2)",0,1,0,2,5.0,13.1306,108
c=B dc=- h=B dh=+ L=B dL=- preo=A,calma,"(0, 0, 1, 0)",0,0,1,0,1.0,8.3991,254
c=B dc=- h=B dh=+ L=B dL=0 preo=B,calma,"(0, 2, 1, 2)",0,2,1,2,7.0,16.2347,134
c=B dc=- h=B dh=+ L=B dL=0 preo=M,calma,"(2, 2, 0, 1)",2,2,0,1,6.0,14.7564,6
c=B dc=- h=B dh=+ L=B dL=0 preo=A,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,10.3675,20
c=B dc=- h=B dh=+ L=B dL=+ preo=B,calma,"(1, 0, 1, 1)",1,0,1,1,4.0,15.9071,410
c=B dc=- h=B dh=+ L=B dL=+ preo=M,calma,"(1, 0, 1, 0)",1,0,1,0,2.0,5.9731,1
c=B dc=- h=B dh=+ L=B dL=+ preo=A,calma,"(0, 2, 1, 2)",0,2,1,2,7.0,9.8649,17
c=B dc=- h=B dh=+ L=M dL=- preo=B,calma,"(2, 2, 0, 1)",2,2,0,1,6.0,17.4032,11845
c=B dc=- h=B dh=+ L=M dL=- preo=M,calma,"(0, 1, 2, 0)",0,1,2,0,3.0,14.3333,822
c=B dc=- h=B dh=+ L=M dL=- preo=A,calma,"(2, 2, 1, 0)",2,2,1,0,5.0,8.5598,133
c=B dc=- h=B dh=+ L=M dL=0 preo=B,calma,"(0, 2, 0, 0)",0,2,0,0,2.0,17.2894,5039
c=B dc=- h=B dh=+ L=M dL=0 preo=M,calma,"(2, 2, 2, 1)",2,2,2,1,8.0,16.7105,113
c=B dc=- h=B dh=+ L=M dL=0 preo=A,calma,"(0, 0, 2, 1)",0,0,2,1,4.0,9.0491,82
c=B dc=- h=B dh=+ L=M dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.2729,247360
c=B dc=- h=B dh=+ L=M dL=+ preo=M,calma,"(2, 2, 1, 0)",2,2,1,0,5.0,15.6431,295
c=B dc=- h=B dh=+ L=M dL=+ preo=A,calma,"(1, 2, 0, 2)",1,2,0,2,7.0,8.7373,581
c=B dc=- h=B dh=+ L=A dL=- preo=B,calma,"(0, 1, 0, 0)",0,1,0,0,1.0,17.6948,35520
c=B dc=- h=B dh=+ L=A dL=- preo=M,calma,"(1, 2, 0, 0)",1,2,0,0,3.0,15.5041,440
c=B dc=- h=B dh=+ L=A dL=- preo=A,calma,"(1, 0, 0, 2)",1,0,0,2,5.0,9.1949,10
c=B dc=- h=B dh=+ L=A dL=0 preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.1977,161406
c=B dc=- h=B dh=+ L=A dL=0 preo=M,calma,"(0, 1, 0, 1)",0,1,0,1,3.0,14.2094,696
c=B dc=- h=B dh=+ L=A dL=0 preo=A,calma,"(2, 1, 1, 1)",2,1,1,1,6.0,9.4071,35
c=B dc=- h=B dh=+ L=A dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.2592,1561634
c=B dc=- h=B dh=+ L=A dL=+ preo=M,calma,"(2, 2, 0, 1)",2,2,0,1,6.0,15.0694,3143
c=B dc=- h=B dh=+ L=A dL=+ preo=A,calma,"(1, 1, 1, 0)",1,1,1,0,3.0,7.9847,2595
c=B dc=- h=M dh=- L=B dL=- preo=B,calma,"(0, 2, 2, 0)",0,2,2,0,4.0,15.9171,3082
c=B dc=- h=M dh=- L=B dL=- preo=M,calma,"(1, 1, 1, 2)",1,1,1,2,7.0,13.1708,1161
c=B dc=- h=M dh=- L=B dL=- preo=A,calma,"(2, 1, 2, 1)",2,1,2,1,7.0,11.1869,471
c=B dc=- h=M dh=- L=B dL=0 preo=B,calma,"(0, 1, 2, 1)",0,1,2,1,5.0,15.2935,116
c=B dc=- h=M dh=- L=B dL=0 preo=M,calma,"(0, 2, 1, 1)",0,2,1,1,5.0,13.7717,23
c=B dc=- h=M dh=- L=B dL=0 preo=A,calma,"(0, 0, 2, 2)",0,0,2,2,6.0,11.0101,12
c=B dc=- h=M dh=- L=B dL=+ preo=B,calma,"(0, 1, 1, 0)",0,1,1,0,2.0,17.1419,192
c=B dc=- h=M dh=- L=B dL=+ preo=M,calma,"(1, 0, 0, 0)",1,0,0,0,1.0,12.0811,19
c=B dc=- h=M dh=- L=B dL=+ preo=A,calma,"(2, 0, 1, 1)",2,0,1,1,5.0,8.1843,24
c=B dc=- h=M dh=- L=M dL=- preo=B,calma,"(0, 2, 0, 0)",0,2,0,0,2.0,17.0311,20222
c=B dc=- h=M dh=- L=M dL=- preo=M,calma,"(2, 2, 1, 0)",2,2,1,0,5.0,14.9534,24631
c=B dc=- h=M dh=- L=M dL=- preo=A,calma,"(0, 1, 0, 1)",0,1,0,1,3.0,9.8703,412
c=B dc=- h=M dh=- L=M dL=0 preo=B,calma,"(1, 2, 2, 0)",1,2,2,0,5.0,17.1203,7047
c=B dc=- h=M dh=- L=M dL=0 preo=M,calma,"(2, 2, 0, 1)",2,2,0,1,6.0,15.2998,2601
c=B dc=- h=M dh=- L=M dL=0 preo=A,calma,"(2, 1, 0, 2)",2,1,0,2,7.0,9.7312,150
c=B dc=- h=M dh=- L=M dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,17.9155,113376
c=B dc=- h=M dh=- L=M dL=+ preo=M,calma,"(2, 0, 1, 0)",2,0,1,0,3.0,13.1932,1858
c=B dc=- h=M dh=- L=M dL=+ preo=A,calma,"(0, 2, 1, 1)",0,2,1,1,5.0,10.7158,236
c=B dc=- h=M dh=- L=A dL=- preo=B,calma,"(2, 2, 1, 0)",2,2,1,0,5.0,17.5015,12136
c=B dc=- h=M dh=- L=A dL=- preo=M,calma,"(2, 0, 0, 0)",2,0,0,0,2.0,14.4719,1338
c=B dc=- h=M dh=- L=A dL=- preo=A,calma,"(2, 2, 0, 2)",2,2,0,2,8.0,9.6250,141
c=B dc=- h=M dh=- L=A dL=0 preo=B,calma,"(1, 1, 2, 0)",1,1,2,0,4.0,16.9335,2525
c=B dc=- h=M dh=- L=A dL=0 preo=M,calma,"(2, 2, 0, 1)",2,2,0,1,6.0,15.2819,2593
c=B dc=- h=M dh=- L=A dL=0 preo=A,calma,"(1, 1, 1, 1)",1,1,1,1,5.0,9.1714,71
c=B dc=- h=M dh=- L=A dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,17.9914,326612
c=B dc=- h=M dh=- L=A dL=+ preo=M,calma,"(2, 2, 2, 0)",2,2,2,0,6.0,14.7925,47389
c=B dc=- h=M dh=- L=A dL=+ preo=A,calma,"(2, 0, 0, 1)",2,0,0,1,4.0,11.2775,2786
c=B dc=- h=M dh=0 L=B dL=- preo=B,calma,"(2, 2, 0, 2)",2,2,0,2,8.0,17.1125,2098
c=B dc=- h=M dh=0 L=B dL=- preo=M,calma,"(1, 1, 0, 0)",1,1,0,0,2.0,13.1288,204
c=B dc=- h=M dh=0 L=B dL=- preo=A,calma,"(2, 1, 2, 2)",2,1,2,2,9.0,10.1670,21
c=B dc=- h=M dh=0 L=B dL=0 preo=B,calma,"(2, 1, 2, 1)",2,1,2,1,7.0,16.4343,91
c=B dc=- h=M dh=0 L=B dL=0 preo=M,calma,"(2, 1, 0, 1)",2,1,0,1,5.0,9.1982,4
c=B dc=- h=M dh=0 L=B dL=0 preo=A,calma,"(2, 1, 2, 1)",2,1,2,1,7.0,4.8723,1
c=B dc=- h=M dh=0 L=B dL=+ preo=B,calma,"(1, 0, 0, 2)",1,0,0,2,5.0,16.0493,151
c=B dc=- h=M dh=0 L=B dL=+ preo=M,calma,"(0, 2, 0, 1)",0,2,0,1,4.0,7.4494,4
c=B dc=- h=M dh=0 L=B dL=+ preo=A,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=B dc=- h=M dh=0 L=M dL=- preo=B,calma,"(2, 0, 0, 0)",2,0,0,0,2.0,17.2617,13290
c=B dc=- h=M dh=0 L=M dL=- preo=M,calma,"(2, 1, 0, 2)",2,1,0,2,7.0,15.1549,9702
c=B dc=- h=M dh=0 L=M dL=- preo=A,calma,"(2, 0, 2, 0)",2,0,2,0,4.0,11.3401,18
c=B dc=- h=M dh=0 L=M dL=0 preo=B,calma,"(0, 1, 0, 1)",0,1,0,1,3.0,16.7405,3825
c=B dc=- h=M dh=0 L=M dL=0 preo=M,calma,"(2, 1, 1, 2)",2,1,1,2,8.0,14.9073,816
c=B dc=- h=M dh=0 L=M dL=0 preo=A,calma,"(1, 1, 0, 1)",1,1,0,1,4.0,5.7735,12
c=B dc=- h=M dh=0 L=M dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,17.8298,70672
c=B dc=- h=M dh=0 L=M dL=+ preo=M,calma,"(2, 1, 2, 0)",2,1,2,0,5.0,14.6545,411
c=B dc=- h=M dh=0 L=M dL=+ preo=A,calma,"(0, 1, 1, 1)",0,1,1,1,4.0,10.1849,42
c=B dc=- h=M dh=0 L=A dL=- preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.2081,12296
c=B dc=- h=M dh=0 L=A dL=- preo=M,calma,"(1, 2, 0, 1)",1,2,0,1,5.0,14.5832,598
c=B dc=- h=M dh=0 L=A dL=- preo=A,calma,"(2, 0, 1, 0)",2,0,1,0,3.0,8.9594,14
c=B dc=- h=M dh=0 L=A dL=0 preo=B,calma,"(2, 1, 0, 1)",2,1,0,1,5.0,16.8669,2901
c=B dc=- h=M dh=0 L=A dL=0 preo=M,calma,"(2, 2, 2, 2)",2,2,2,2,10.0,15.5392,1174
c=B dc=- h=M dh=0 L=A dL=0 preo=A,calma,"(1, 0, 0, 0)",1,0,0,0,1.0,8.7834,16
c=B dc=- h=M dh=0 L=A dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,17.9515,232508
c=B dc=- h=M dh=0 L=A dL=+ preo=M,calma,"(2, 2, 0, 1)",2,2,0,1,6.0,14.8526,16959
c=B dc=- h=M dh=0 L=A dL=+ preo=A,calma,"(2, 0, 1, 2)",2,0,1,2,7.0,8.5225,214
c=B dc=- h=M dh=+ L=B dL=- preo=B,calma,"(2, 1, 2, 2)",2,1,2,2,9.0,16.7437,3646
c=B dc=- h=M dh=+ L=B dL=- preo=M,calma,"(2, 2, 2, 1)",2,2,2,1,8.0,14.5071,314
c=B dc=- h=M dh=+ L=B dL=- preo=A,calma,"(1, 0, 1, 1)",1,0,1,1,4.0,3.2054,52
c=B dc=- h=M dh=+ L=B dL=0 preo=B,calma,"(1, 1, 0, 0)",1,1,0,0,2.0,17.0510,166
c=B dc=- h=M dh=+ L=B dL=0 preo=M,calma,"(2, 2, 2, 1)",2,2,2,1,8.0,11.6234,9
c=B dc=- h=M dh=+ L=B dL=0 preo=A,calma,"(2, 0, 2, 2)",2,0,2,2,8.0,4.6007,1
c=B dc=- h=M dh=+ L=B dL=+ preo=B,calma,"(0, 2, 0, 0)",0,2,0,0,2.0,17.0833,231
c=B dc=- h=M dh=+ L=B dL=+ preo=M,calma,"(0, 1, 2, 0)",0,1,2,0,3.0,9.6498,5
c=B dc=- h=M dh=+ L=B dL=+ preo=A,calma,"(2, 2, 0, 2)",2,2,0,2,8.0,4.2536,2
c=B dc=- h=M dh=+ L=M dL=- preo=B,calma,"(2, 2, 2, 0)",2,2,2,0,6.0,17.3708,20830
c=B dc=- h=M dh=+ L=M dL=- preo=M,calma,"(2, 1, 0, 1)",2,1,0,1,5.0,14.5078,12826
c=B dc=- h=M dh=+ L=M dL=- preo=A,calma,"(0, 2, 1, 2)",0,2,1,2,7.0,9.8637,48
c=B dc=- h=M dh=+ L=M dL=0 preo=B,calma,"(2, 0, 1, 0)",2,0,1,0,3.0,16.8224,6198
c=B dc=- h=M dh=+ L=M dL=0 preo=M,calma,"(0, 0, 1, 1)",0,0,1,1,3.0,13.7208,1088
c=B dc=- h=M dh=+ L=M dL=0 preo=A,calma,"(1, 1, 0, 2)",1,1,0,2,6.0,6.3251,30
c=B dc=- h=M dh=+ L=M dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,17.8317,133108
c=B dc=- h=M dh=+ L=M dL=+ preo=M,calma,"(2, 0, 2, 2)",2,0,2,2,8.0,14.0838,550
c=B dc=- h=M dh=+ L=M dL=+ preo=A,calma,"(0, 2, 1, 1)",0,2,1,1,5.0,7.9073,157
c=B dc=- h=M dh=+ L=A dL=- preo=B,calma,"(0, 1, 0, 0)",0,1,0,0,1.0,17.4954,25536
c=B dc=- h=M dh=+ L=A dL=- preo=M,calma,"(1, 0, 1, 0)",1,0,1,0,2.0,13.7746,1139
c=B dc=- h=M dh=+ L=A dL=- preo=A,calma,"(2, 2, 0, 1)",2,2,0,1,6.0,8.1495,33
c=B dc=- h=M dh=+ L=A dL=0 preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,18.0328,28727
c=B dc=- h=M dh=+ L=A dL=0 preo=M,calma,"(2, 0, 1, 0)",2,0,1,0,3.0,14.1164,2243
c=B dc=- h=M dh=+ L=A dL=0 preo=A,calma,"(2, 2, 1, 2)",2,2,1,2,9.0,11.0114,27
c=B dc=- h=M dh=+ L=A dL=+ preo=B,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,17.9386,545000
c=B dc=- h=M dh=+ L=A dL=+ preo=M,calma,"(1, 2, 2, 0)",1,2,2,0,5.0,14.4649,22685
c=B dc=- h=M dh=+ L=A dL=+ preo=A,calma,"(1, 0, 0, 1)",1,0,0,1,3.0,6.2081,640
c=B dc=- h=A dh=- L=B dL=- preo=B,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,13.5899,185
c=B dc=- h=A dh=- L=B dL=- preo=M,emergencia,"(1, 0, 2, 2)",1,0,2,2,7.0,11.4506,800
c=B dc=- h=A dh=- L=B dL=- preo=A,emergencia,"(2, 1, 2, 1)",2,1,2,1,7.0,4.8619,19975
c=B dc=- h=A dh=- L=B dL=0 preo=B,emergencia,"(2, 0, 1, 2)",2,0,1,2,7.0,7.7524,2
c=B dc=- h=A dh=- L=B dL=0 preo=M,emergencia,"(2, 2, 0, 1)",2,2,0,1,6.0,11.2486,10
c=B dc=- h=A dh=- L=B dL=0 preo=A,emergencia,"(2, 0, 2, 2)",2,0,2,2,8.0,3.9984,224
c=B dc=- h=A dh=- L=B dL=+ preo=B,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,11.0948,3
c=B dc=- h=A dh=- L=B dL=+ preo=M,emergencia,"(1, 0, 1, 1)",1,0,1,1,4.0,3.9626,8
c=B dc=- h=A dh=- L=B dL=+ preo=A,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,3.9377,308
c=B dc=- h=A dh=- L=M dL=- preo=B,emergencia,"(1, 1, 1, 2)",1,1,1,2,7.0,13.5231,738
c=B dc=- h=A dh=- L=M dL=- preo=M,emergencia,"(1, 1, 1, 1)",1,1,1,1,5.0,11.7326,5075
c=B dc=- h=A dh=- L=M dL=- preo=A,emergencia,"(2, 2, 0, 0)",2,2,0,0,4.0,3.9892,31789
c=B dc=- h=A dh=- L=M dL=0 preo=B,emergencia,"(0, 2, 0, 2)",0,2,0,2,6.0,12.7063,30
c=B dc=- h=A dh=- L=M dL=0 preo=M,emergencia,"(0, 2, 1, 2)",0,2,1,2,7.0,12.0347,607
c=B dc=- h=A dh=- L=M dL=0 preo=A,emergencia,"(1, 2, 1, 0)",1,2,1,0,4.0,4.1507,9211
c=B dc=- h=A dh=- L=M dL=+ preo=B,emergencia,"(0, 1, 2, 2)",0,1,2,2,7.0,12.7495,240
c=B dc=- h=A dh=- L=M dL=+ preo=M,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,11.4556,793
c=B dc=- h=A dh=- L=M dL=+ preo=A,emergencia,"(1, 2, 1, 2)",1,2,1,2,8.0,4.3019,3321
c=B dc=- h=A dh=- L=A dL=- preo=B,emergencia,"(0, 1, 0, 1)",0,1,0,1,3.0,11.6871,313
c=B dc=- h=A dh=- L=A dL=- preo=M,emergencia,"(0, 1, 1, 2)",0,1,1,2,6.0,10.2448,416
c=B dc=- h=A dh=- L=A dL=- preo=A,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,3.5522,9201
c=B dc=- h=A dh=- L=A dL=0 preo=B,emergencia,"(2, 1, 2, 0)",2,1,2,0,5.0,12.2328,275
c=B dc=- h=A dh=- L=A dL=0 preo=M,emergencia,"(0, 0, 1, 0)",0,0,1,0,1.0,11.0872,1031
c=B dc=- h=A dh=- L=A dL=0 preo=A,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,3.5661,4521
c=B dc=- h=A dh=- L=A dL=+ preo=B,emergencia,"(2, 0, 1, 1)",2,0,1,1,5.0,12.7387,4944
c=B dc=- h=A dh=- L=A dL=+ preo=M,emergencia,"(1, 2, 2, 0)",1,2,2,0,5.0,11.8066,14396
c=B dc=- h=A dh=- L=A dL=+ preo=A,emergencia,"(2, 2, 0, 0)",2,2,0,0,4.0,4.8136,116371
c=B dc=- h=A dh=0 L=B dL=- preo=B,emergencia,"(0, 2, 0, 0)",0,2,0,0,2.0,13.1439,37
c=B dc=- h=A dh=0 L=B dL=- preo=M,emergencia,"(0, 1, 2, 2)",0,1,2,2,7.0,11.6002,103
c=B dc=- h=A dh=0 L=B dL=- preo=A,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,3.4208,2723
c=B dc=- h=A dh=0 L=B dL=0 preo=B,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=B dc=- h=A dh=0 L=B dL=0 preo=M,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=B dc=- h=A dh=0 L=B dL=0 preo=A,emergencia,"(0, 0, 1, 1)",0,0,1,1,3.0,3.1781,20
c=B dc=- h=A dh=0 L=B dL=+ preo=B,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=B dc=- h=A dh=0 L=B dL=+ preo=M,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=B dc=- h=A dh=0 L=B dL=+ preo=A,emergencia,"(1, 0, 1, 0)",1,0,1,0,2.0,2.2500,17
c=B dc=- h=A dh=0 L=M dL=- preo=B,emergencia,"(0, 2, 0, 1)",0,2,0,1,4.0,13.3791,250
c=B dc=- h=A dh=0 L=M dL=- preo=M,emergencia,"(0, 1, 1, 1)",0,1,1,1,4.0,10.7643,1178
c=B dc=- h=A dh=0 L=M dL=- preo=A,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,3.3749,5105
c=B dc=- h=A dh=0 L=M dL=0 preo=B,emergencia,"(1, 1, 1, 1)",1,1,1,1,5.0,14.1940,35
c=B dc=- h=A dh=0 L=M dL=0 preo=M,emergencia,"(0, 1, 1, 2)",0,1,1,2,6.0,10.6345,75
c=B dc=- h=A dh=0 L=M dL=0 preo=A,emergencia,"(1, 2, 2, 2)",1,2,2,2,9.0,3.8228,386
c=B dc=- h=A dh=0 L=M dL=+ preo=B,emergencia,"(2, 0, 0, 2)",2,0,0,2,6.0,13.6444,182
c=B dc=- h=A dh=0 L=M dL=+ preo=M,emergencia,"(0, 1, 2, 2)",0,1,2,2,7.0,9.9823,301
c=B dc=- h=A dh=0 L=M dL=+ preo=A,emergencia,"(0, 1, 2, 1)",0,1,2,1,5.0,3.3381,366
c=B dc=- h=A dh=0 L=A dL=- preo=B,emergencia,"(0, 0, 0, 2)",0,0,0,2,4.0,12.0273,93
c=B dc=- h=A dh=0 L=A dL=- preo=M,emergencia,"(2, 1, 1, 2)",2,1,1,2,8.0,12.4133,120
c=B dc=- h=A dh=0 L=A dL=- preo=A,emergencia,"(1, 1, 2, 0)",1,1,2,0,4.0,3.0427,7060
c=B dc=- h=A dh=0 L=A dL=0 preo=B,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,10.3848,58
c=B dc=- h=A dh=0 L=A dL=0 preo=M,emergencia,"(2, 2, 1, 0)",2,2,1,0,5.0,11.9033,167
c=B dc=- h=A dh=0 L=A dL=0 preo=A,emergencia,"(1, 2, 2, 1)",1,2,2,1,7.0,2.4543,4391
c=B dc=- h=A dh=0 L=A dL=+ preo=B,emergencia,"(2, 0, 0, 0)",2,0,0,0,2.0,13.0013,2246
c=B dc=- h=A dh=0 L=A dL=+ preo=M,emergencia,"(0, 1, 0, 2)",0,1,0,2,5.0,10.8733,3481
c=B dc=- h=A dh=0 L=A dL=+ preo=A,emergencia,"(1, 2, 1, 0)",1,2,1,0,4.0,3.5039,19089
